prod_name,Collection,supplier,brand,color,pattern,category,cat_name,image,style,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
GE3668,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3668.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3669,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,PINK,ashford geometrics,ashford,/images/ashford/GE3669.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3666,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,/images/ashford/GE3666.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3670,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,/images/ashford/GE3670.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3664,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,/images/ashford/GE3664.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3665,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3665.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3667,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,LIGHT GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3667.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3671,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,NA,ashford geometrics,ashford,/images/ashford/GE3671.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3659,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,SILVER,ashford geometrics,ashford,/images/ashford/GE3659.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3656,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3656.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3658,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3658.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3657,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3657.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3660,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,GOLD,ashford geometrics,ashford,/images/ashford/GE3660.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3661,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3661.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3651,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,ORANGE,ashford geometrics,ashford,/images/ashford/GE3651.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3650,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY ,WHITE,ashford geometrics,ashford,/images/ashford/GE3650.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3652,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3652.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3653,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREEN,ashford geometrics,ashford,/images/ashford/GE3653.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3648,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,NA,ashford geometrics,ashford,/images/ashford/GE3648.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3649,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLACK,GREY,ashford geometrics,ashford,/images/ashford/GE3649.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3600,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,NA,ashford geometrics,ashford,/images/ashford/GE3600.jpg,XYZ,NA,TEXTURE,NA,NA,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3601,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,NA,ashford geometrics,ashford,/images/ashford/GE3601.jpg,XYZ,NA,TEXTURE,NA,NA,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3602,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,NA,ashford geometrics,ashford,/images/ashford/GE3602.jpg,XYZ,NA,TEXTURE,NA,NA,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3603,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,NA,ashford geometrics,ashford,/images/ashford/GE3603.jpg,XYZ,NA,TEXTURE,NA,NA,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3624,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3624.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3630,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,ORANGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3630.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3625,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3625.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3629,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,/images/ashford/GE3629.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3627,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3627.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3626,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3626.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
