prod_name,collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
CHR 2836 95 12,CHROME,CASADECO,ABC,GREY,GREY,CHROME,chrome,#,/images/CHROME/CHR 2836 95 12.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 95 24,CHROME,CASADECO,ABC,GREY,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 95 24.jpg,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 91 42,CHROME,CASADECO,ABC,SILVER,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 91 42.jpg,,TEXTURE,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2836 01 20,CHROME,CASADECO,ABC,SILVER,WHITE,CHROME,chrome,#,/images/CHROME/CHR 2836 01 20.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2835 95 01,CHROME,CASADECO,ABC,GREY,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2835 95 01.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2840 01 33,CHROME,CASADECO,ABC,SILVER,NA,CHROME,chrome,#,/images/CHROME/CHR 2840 01 33.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2838 95 16,CHROME,CASADECO,ABC,BLUE ,NA,CHROME,chrome,#,/images/CHROME/CHR 2838 95 16.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2838 91 28,CHROME,CASADECO,ABC,GREY,NA,CHROME,chrome,#,/images/CHROME/CHR 2838 91 28.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2839 31 17,CHROME,CASADECO,ABC,WHITE,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2839 31 17.jpg,,TEXTURE,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,STRIPES
CHR 2836 31 21,CHROME,CASADECO,ABC,GOLD,BRONZE,CHROME,chrome,#,/images/CHROME/CHR 2836 31 21.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2115 01 31,CHROME,CASADECO,ABC,WHITE,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2115 01 31.jpg,,TEXTURE,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2840 91 26,CHROME,CASADECO,ABC,GREY,NA,CHROME,chrome,#,/images/CHROME/CHR 2840 91 26.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2838 91 28,CHROME,CASADECO,ABC,SILVER,NA,CHROME,chrome,#,/images/CHROME/CHR 2838 91 28.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2838 01 14,CHROME,CASADECO,ABC,WHITE,NA,CHROME,chrome,#,/images/CHROME/CHR 2838 01 14.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2838 31 15,CHROME,CASADECO,ABC,COPPER,NA,CHROME,chrome,#,/images/CHROME/CHR 2838 31 15.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2836 11 35,CHROME,CASADECO,ABC,BEIGE,BEIGE,CHROME,chrome,#,/images/CHROME/CHR 2836 11 35.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
