prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
DD8376,DESIGNER,YORK,RONALD REDDING DESIGNS,GREY,SILVER,designer damask,damasks,#,/images/damask/DD8376.jpg,-,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8472,DESIGNER,YORK,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/DD8472.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8375,DESIGNER,YORK,RONALD REDDING DESIGNS,TEAL,GOLDEN,designer damask,damasks,#,/images/damask/DD8375.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8471,DESIGNER,YORK,RONALD REDDING DESIGNS,TEAL,GOLDEN,designer damask,damasks,#,/images/damask/DD8471.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
EK4230,DESIGNER,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,designer damask,damasks,#,/images/damask/EK4230.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8373,DESIGNER,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,designer damask,damasks,#,/images/damask/DD8373.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
EK4232,DESIGNER,YORK,RONALD REDDING DESIGNS,MUSTARD,GOLDEN,designer damask,damasks,#,/images/damask/EK4232.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8378,DESIGNER,YORK,RONALD REDDING DESIGNS,BLUE,GOLDEN,designer damask,damasks,#,/images/damask/DD8378.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8469,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,WHITE,designer damask,damasks,#,/images/damask/DD8469.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8372,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,WHITE,designer damask,damasks,#,/images/damask/DD8372.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
EK4232,DESIGNER,YORK,RONALD REDDING DESIGNS,MUSTARD,GOLDEN,designer damask,damasks,#,/images/damask/EK4232.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8377,DESIGNER,YORK,RONALD REDDING DESIGNS,RED,GOLDEN,designer damask,damasks,#,/images/damask/DD8377.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8434,DESIGNER,YORK,RONALD REDDING DESIGNS,WHITE,SILVER,designer damask,damasks,#,/images/damask/DD8434.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8433,DESIGNER,YORK,RONALD REDDING DESIGNS,SILVER,BLUE,designer damask,damasks,#,/images/damask/DD8433.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
CO2084,DESIGNER,YORK,RONALD REDDING DESIGNS,WHITE,NA,designer damask,damasks,#,/images/damask/CO2084.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
CO2085,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/CO2085.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DE9000,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/DE9000.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DE9001,DESIGNER,YORK,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/DE9001.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
ND7092,DESIGNER,YORK,RONALD REDDING DESIGNS,BLUE,NA,designer damask,damasks,#,/images/damask/ND7092.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8432,DESIGNER,YORK,RONALD REDDING DESIGNS,WHITE,WHITE,designer damask,damasks,#,/images/damask/DD8432.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8435,DESIGNER,YORK,RONALD REDDING DESIGNS,DARK GREY,GREY,designer damask,damasks,#,/images/damask/DD8435.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8444,DESIGNER,YORK,RONALD REDDING DESIGNS,WHITE,PINK,designer damask,damasks,#,/images/damask/DD8444.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8446,DESIGNER,YORK,RONALD REDDING DESIGNS,WHITE,GREY,designer damask,damasks,#,/images/damask/DD8446.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8445,DESIGNER,YORK,RONALD REDDING DESIGNS,BLUE,WHITE,designer damask,damasks,#,/images/damask/DD8445.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
EK4234,DESIGNER,YORK,RONALD REDDING DESIGNS,MUSTARD,NA,designer damask,damasks,#,/images/damask/EK4234.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
EK4108,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,MUSTARD,designer damask,damasks,#,/images/damask/EK4108.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8483,DESIGNER,YORK,RONALD REDDING DESIGNS,MUSTARD,NA,designer damask,damasks,#,/images/damask/DD8483.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
DD8455,DESIGNER,YORK,RONALD REDDING DESIGNS,BLUE,MUSTARD,designer damask,damasks,#,/images/damask/DD8455.jpg,,,,,,,DAMASKS,,COMMERCIAL/CAFÉ,,,
DD8482,DESIGNER,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/DD8482.jpg,,TEXTURE,,,,,,,COMMERCIAL/CAFÉ,,,
