prod_name,Collection,supplier,color,pattern,category,link,image,brand,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
Y6130601,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,GOLDEN,dorado,#,/images/dorado/Y6130601.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASKS, -, -, -, -
Y6130602,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",SILVER,WHITE,dorado,#,/images/dorado/Y6130602.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASKS, -, -, -, -
Y6130604,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",TURQUOISE,GOLDEN,dorado,#,/images/dorado/Y6130604.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASKS, -, -, -, -
Y6130605,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BEIGE,GOLDEN,dorado,#,/images/dorado/Y6130605.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASKS, -, -, -, -
Y6130302,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",DARK BEIGE,GOLDEN,dorado,#,/images/dorado/Y6130302.jpg,XYZ,dorado, -, -, -, -, -, -, -, -, -, -,STRIPES
Y6130303,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,SILVER,dorado,#,/images/dorado/Y6130303.jpg,XYZ,dorado, -, -, -, -, -, -, -, -, -, -,STRIPES
Y6130610,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6130610.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130608,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,GOLDEN,dorado,#,/images/dorado/Y6130608.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6131206,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GOLDEN,NA,dorado,#,/images/dorado/Y6131206.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6131203,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",SILVER,NA,dorado,#,/images/dorado/Y6131203.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6130401,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,SILVER,dorado,#,/images/dorado/Y6130401.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130404,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6130404.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130406,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6130406.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130405,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GOLDEN,SILVER,dorado,#,/images/dorado/Y6130405.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130403,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,GOLDEN,dorado,#,/images/dorado/Y6130403.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130402,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BROWN,GOLDEN,dorado,#,/images/dorado/Y6130402.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130102,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,GOLDEN,dorado,#,/images/dorado/Y6130102.jpg,XYZ,dorado, -, -, -, -, -, -, -, -, -, -,STRIPES
Y6130101,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,SILVER,dorado,#,/images/dorado/Y6130101.jpg,XYZ,dorado, -, -, -, -, -, -, -, -, -, -,STRIPES
Y6131303,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",SILVER,GOLDEN,dorado,#,/images/dorado/Y6131303.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6131304,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BLACK,NA,dorado,#,/images/dorado/Y6131304.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6131301,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GOLDEN,BROWN,dorado,#,/images/dorado/Y6131301.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6131305,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",TURQUOISE,BROWN,dorado,#,/images/dorado/Y6131305.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
