prod_name,Collection,supplier,brand,color,pattern,link,image,category,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
2917 91 18,OXYDE,CASADECO,ABC,GREY,ORANGE,#,/images/oxyde/OXY 2917 91 18.jpg,OXYDE,oxyde,,,,PATTERN,CONTEMPORARY,,,,,,,,
2911 21 19,OXYDE,CASADECO,ABC,ORANGE,NA,#,/images/oxyde/OXY 2911 21 19.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2914 91 14,OXYDE,CASADECO,ABC,GREY,NA,#,/images/oxyde/OXY 2914 91 14.jpg,OXYDE,oxyde,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
2911 14 12,OXYDE,CASADECO,ABC,GREY,WHITE,#,/images/oxyde/OXY 2911 14 12.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2916 21 09,OXYDE,CASADECO,ABC,GOLD,NA,#,/images/oxyde/OXY 2916 21 09.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2913 11 07,OXYDE,CASADECO,ABC,GREY,WHITE,#,/images/oxyde/OXY 2913 11 07.jpg,OXYDE,oxyde,,,,PATTERN,CONTEMPORARY,,,,,,,,
2911 11 26,OXYDE,CASADECO,ABC,WHITE,ORANGE,#,/images/oxyde/OXY 2911 11 26.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2912 13 25,OXYDE,CASADECO,ABC,GREY,ORANGE,#,/images/oxyde/OXY 2912 13 25.jpg,OXYDE,oxyde,,TEXTURE,,PATTERN,CONTEMPORARY,,,,,,,,
2918 91 18,OXYDE,CASADECO,ABC,GREY,NA,#,/images/oxyde/OXY 2918 91 18.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2918 61 00,OXYDE,CASADECO,ABC,BLUE,NA,#,/images/oxyde/OXY 2918 61 00.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2915 13 33,OXYDE,CASADECO,ABC,GREY,NA,#,/images/oxyde/OXY 2915 13 33.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2913 92 32,OXYDE,CASADECO,ABC,GREY,GREY,#,/images/oxyde/OXY 2913 92 32.jpg,OXYDE,oxyde,,,,PATTERN,CONTEMPORARY,,,,,,,,
2911 81 11,OXYDE,CASADECO,ABC,MAROON,NA,#,/images/oxyde/OXY 2911 81 11.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2915 92 41,OXYDE,CASADECO,ABC,PURPLE,NA,#,/images/oxyde/OXY 2915 92 41.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2914 92 05,OXYDE,CASADECO,ABC,PURPLE,NA,#,/images/oxyde/OXY 2914 92 05.jpg,OXYDE,oxyde,,TEXTURE,,PATTERN,CONTEMPORARY,,,,,,,,
2912 01 36,OXYDE,CASADECO,ABC,WHITE,SILVER,#,/images/oxyde/OXY 2912 01 36.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2912 11 06,OXYDE,CASADECO,ABC,GREY,SILVER,#,/images/oxyde/OXY 2912 11 06.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2914 01 03,OXYDE,CASADECO,ABC,WHITE,NA,#,/images/oxyde/OXY 2914 01 03.jpg,OXYDE,oxyde,,TEXTURE,,PATTERN,CONTEMPORARY,,,,,,,,
2911 91 37,OXYDE,CASADECO,ABC,GREY,WHITE,#,/images/oxyde/OXY 2911 91 37.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2916 01 17,OXYDE,CASADECO,ABC,WHITE,NA,#,/images/oxyde/OXY 2916 01 17.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2916 61 17,OXYDE,CASADECO,ABC,BLUE,GREY,#,/images/oxyde/OXY 2916 61 17.jpg,OXYDE,oxyde,,TEXTURE,,,CONTEMPORARY,,,,,,,,
2914 21 28,OXYDE,CASADECO,ABC,GOLD,NA,#,/images/oxyde/OXY 2914 21 28.jpg,OXYDE,oxyde,,TEXTURE,,PATTERN,CONTEMPORARY,,,,,,,,
