prod_name,Collection,supplier,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
JC5945,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5945.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6023,OPAL_ESSENCE,YORK,GOLD,NA,opal essence,opal,#,/images/opal/JC6023.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC6019,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC6019.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC5941,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC5941.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6022,OPAL_ESSENCE,YORK,GOLD,BEIGE,opal essence,opal,#,/images/opal/JC6022.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC5944,OPAL_ESSENCE,YORK,GOLD,BEIGE,opal essence,opal,#,/images/opal/JC5944.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6020,OPAL_ESSENCE,YORK,GOLD,BROWN,opal essence,opal,#,/images/opal/JC6020.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC5942,OPAL_ESSENCE,YORK,GOLD,BROWN,opal essence,opal,#,/images/opal/JC5942.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6021,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC6021.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC5943,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5943.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC5940,OPAL_ESSENCE,YORK,MUSTARD,WHITE,opal essence,opal,#,/images/opal/JC5940.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,STRIPES,
JC6018,OPAL_ESSENCE,YORK,MUSTARD,WHITE,opal essence,opal,#,/images/opal/JC6018.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES,
JC5903,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5903.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5913,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5913.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5921,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5921.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5923,OPAL_ESSENCE,YORK,GRREN,NA,opal essence,opal,#,/images/opal/JC5923.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5905,OPAL_ESSENCE,YORK,SILVER,PURPLE,opal essence,opal,#,/images/opal/JC5905.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5925,OPAL_ESSENCE,YORK,BROWN,WHITE,opal essence,opal,#,/images/opal/JC5925.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5915,OPAL_ESSENCE,YORK,SILVER,PURPLE,opal essence,opal,#,/images/opal/JC5915.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5902,OPAL_ESSENCE,YORK,WHITE,PINK,opal essence,opal,#,/images/opal/JC5902.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5922,OPAL_ESSENCE,YORK,PINK,NA,opal essence,opal,#,/images/opal/JC5922.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5912,OPAL_ESSENCE,YORK,WHITE,RED,opal essence,opal,#,/images/opal/JC5912.jpg,,,TEXTURE,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5900,OPAL_ESSENCE,YORK,BEIGE,GOLD,opal essence,opal,#,/images/opal/JC5900.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5920,OPAL_ESSENCE,YORK,BEIGE,WHITE,opal essence,opal,#,/images/opal/JC5920.jpg,,,TEXTURE,,CONTEMPORARY,,,,,,,,
JC5910,OPAL_ESSENCE,YORK,BEIGE,GREY,opal essence,opal,#,/images/opal/JC5910.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5901,OPAL_ESSENCE,YORK,BEIGE,WHITE,opal essence,opal,#,/images/opal/JC5901.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5911,OPAL_ESSENCE,YORK,WHITE,BLUE,opal essence,opal,#,/images/opal/JC5911.jpg,,,TEXTURE,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5904,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5904.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5924,OPAL_ESSENCE,YORK,RED,NA,opal essence,opal,#,/images/opal/JC5924.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5914,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5914.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC5950,OPAL_ESSENCE,YORK,BEIGE,GOLD,opal essence,opal,#,/images/opal/JC5950.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5960,OPAL_ESSENCE,YORK,BEIGE,SILVER,opal essence,opal,#,/images/opal/JC5960.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5951,OPAL_ESSENCE,YORK,GREY,WHITE,opal essence,opal,#,/images/opal/JC5951.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
JC5961,OPAL_ESSENCE,YORK,GREY,WHITE,opal essence,opal,#,/images/opal/JC5961.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5954,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC5954.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
JC5964,OPAL_ESSENCE,YORK,BEIGE,GREY,opal essence,opal,#,/images/opal/JC5964.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
