prod_name,Collection,supplier,brand,color,pattern,cat_name,link,image,category,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
RRD7177,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,NA,silverleaf,#,/images/Silver_Leaf/RRD7177.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7174,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7174.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7182,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/RRD7182.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7170,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7170.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7176,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7176.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7181,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7181.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7178,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7178.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7175,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7175.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7171,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7171.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7166,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7166.jpg,Silver Leaf II,,,,,,,,,,,,
RRD7167,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7167.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7179,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7179.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7173,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,PINK,MAROON,silverleaf,#,/images/Silver_Leaf/RRD7173.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7172,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,NA,silverleaf,#,/images/Silver_Leaf/RRD7172.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7168,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7168.jpg,Silver Leaf II,,,,,,,,,,,,
RRD7165,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BLACK,SILVER,silverleaf,#,/images/Silver_Leaf/RRD7165.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7169,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,DARK GREY,GOLDEN,silverleaf,#,/images/Silver_Leaf/RRD7169.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5604,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5604.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
RRD7180,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/RRD7180.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
DD8481,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/DD8481.jpg,Silver Leaf II,,,,,,,,,,,,
SL5600,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BROWN,SILVER,silverleaf,#,/images/Silver_Leaf/SL5600.jpg,Silver Leaf II,,,,PATTERN,CONTEMPORARY,,,,,,,
SL5729,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,GREY,silverleaf,#,/images/Silver_Leaf/SL5729.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5601,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5601.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
DD8483,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/DD8483.jpg,Silver Leaf II,,,,PATTERN,CONTEMPORARY,,,,,,,
SL5602,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BLUE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5602.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5728,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5728.jpg,Silver Leaf II,,,,PATTERN,CONTEMPORARY,,,,,,,
SL5603,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5603.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5732,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,WHITE,silverleaf,#,/images/Silver_Leaf/SL5732.jpg,Silver Leaf II,,,,PATTERN,CONTEMPORARY,,,,,,,
PM9319M,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BROWN,silverleaf,#,/images/Silver_Leaf/PM9319M.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5712M,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,BROWN,silverleaf,#,/images/Silver_Leaf/SL5712M.jpg,Silver Leaf II,,,,PATTERN,CONTEMPORARY,,,,,,,
SL5713M,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BLUE,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5713M.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5720,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5720.jpg,Silver Leaf II,,,,,,TRADITIONAL,,,,,MURAL,
SL5728,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5728.jpg,Silver Leaf II,,,,,,TRADITIONAL,,,,,MURAL,
SL5721,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,GREY,silverleaf,#,/images/Silver_Leaf/SL5721.jpg,Silver Leaf II,,,,,,TRADITIONAL,,,,,MURAL,
SL5729,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5729.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5722,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,GREY,silverleaf,#,/images/Silver_Leaf/SL5722.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5728,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,WHITE,silverleaf,#,/images/Silver_Leaf/SL5728.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5730,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN ,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5730.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5723,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5723.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5616,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,NA,silverleaf,#,/images/Silver_Leaf/SL5616.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5731,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,NA,silverleaf,#,/images/Silver_Leaf/SL5731.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
SL5684,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5684.jpg,Silver Leaf II,,TEXTURE,,PATTERN,,TRADITIONAL,,,,,,
SL5732,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,SILVER,NA,silverleaf,#,/images/Silver_Leaf/SL5732.jpg,Silver Leaf II,,TEXTURE,,,CONTEMPORARY,,,,,,,
