prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
TP 1506,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,COPPER,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1506.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1504,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,SILVER,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1504.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1503,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1503.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1505,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1505.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1507,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,BROWN,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1507.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1008,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,DARK GREY,SILVER,Textured Plains,texturedplains,#,/images/textured_plains/TP 1008.jpg,-,TEXTURE,-,-,-,-,-,-,COMMERCIAL,RESIDENTIAL,,
TP 1010,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,SILVER,GREY,Textured Plains,texturedplains,#,/images/textured_plains/TP 1010.jpg,-,TEXTURE,,,,,,,COMMERCIAL,RESIDENTIAL,,
TP 1011,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,SILVER,WHITE,Textured Plains,texturedplains,#,/images/textured_plains/TP 1011.jpg,-,TEXTURE,,,,,,,COMMERCIAL,RESIDENTIAL,,
TP 1405,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1405.jpg,-,TEXTURE,,,,,,,COMMERCIAL,RESIDENTIAL,,
TP 1402,TEXTURED_PLAINS,GRANDECO,DECO4WALLS,BEIGE,GOLDEN,Textured Plains,texturedplains,#,/images/textured_plains/TP 1402.jpg,-,TEXTURE,,,,,,,COMMERCIAL,RESIDENTIAL,,
