prod_name,Collection,supplier,brand,color,pattern,CONTEMPORARY,link,image,cat_name,category,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
UN3105,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,GREEN,CONTEMPORARY,#,/images/unplugged/UN 3105.jpg,unplugged,Unplugged,,,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1009,UNPLUGGED,GRANDECO,DECO4WALLS,TEAL,NA,CONTEMPORARY,#,/images/unplugged/UN 1009.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1001,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,NA,CONTEMPORARY,#,/images/unplugged/UN 1001.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1002,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1002.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1008,UNPLUGGED,GRANDECO,DECO4WALLS,GREEN,NA,CONTEMPORARY,#,/images/unplugged/UN 1008.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN4005,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,LIME GREEN,CONTEMPORARY,#,/images/unplugged/UN 4005.jpg,unplugged,Unplugged,,,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,STRIPES,
UN1002,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1002.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN2003,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,BROWN,CONTEMPORARY,#,/images/unplugged/UN 2003.jpg,unplugged,Unplugged,,,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1004,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1004.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1009,UNPLUGGED,GRANDECO,DECO4WALLS,TEAL,NA,CONTEMPORARY,#,/images/unplugged/UN 1009.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN3202,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREEN,CONTEMPORARY,#,/images/unplugged/UN 3202.jpg,unplugged,Unplugged,,,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1201,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,NA,CONTEMPORARY,#,/images/unplugged/UN 1201.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1009,UNPLUGGED,GRANDECO,DECO4WALLS,TEAL,NA,CONTEMPORARY,#,/images/unplugged/UN 1009.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1001,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,NA,CONTEMPORARY,#,/images/unplugged/UN 1001.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1003,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1003.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1103,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,NA,CONTEMPORARY,#,/images/unplugged/UN 1103.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN3301,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3301.jpg,unplugged,Unplugged,,,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN3002,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,ORANGE,CONTEMPORARY,#,/images/unplugged/UN 3002.jpg,unplugged,Unplugged,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1005,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1005.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1004,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1004.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1006,UNPLUGGED,GRANDECO,DECO4WALLS,ORANGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1006.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN3107,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3107.jpg,unplugged,Unplugged,,,GEOMETRIC,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1104,UNPLUGGED,GRANDECO,DECO4WALLS,WHITE,NA,CONTEMPORARY,#,/images/unplugged/UN 1104.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1003,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1003.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN1006,UNPLUGGED,GRANDECO,DECO4WALLS,ORANGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1006.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 2002,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,ORANGE,CONTEMPORARY,#,/images/unplugged/UN 2002.jpg,unplugged,Unplugged,,,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 3008,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3008.jpg,unplugged,Unplugged,,,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 1004,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1004.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 1011,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1011.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 3201,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3201.jpg,unplugged,Unplugged,,,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 1202,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1202.jpg,unplugged,Unplugged,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
UN 4007,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 4007.jpg,unplugged,Unplugged,,,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,STRIPES,
UN 3204,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3204.jpg,unplugged,Unplugged,,,,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,,,
