prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
VB2010,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2010.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VB4082,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB4082.jpg,,,,PATTERN,,TRADITIONAL,,,,,,STRIPES,
VB1110,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1110.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB1102,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1102.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB1003,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1003.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3105,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3105.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
VB3201,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,PURPLE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3201.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VB1107,VILLA_BORGHESE,GRANDECO,DECO4WALLS,GOLD,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1107.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB1108,VILLA_BORGHESE,GRANDECO,DECO4WALLS,GREY,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1108.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB2008,VILLA_BORGHESE,GRANDECO,DECO4WALLS,SILVER,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2008.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VB1001,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1001.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3301,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3301.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
VB3101,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GREY,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3101.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
VB4092,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB4092.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
VB2002,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2002.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB1106,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1106.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VB1002,VILLA_BORGHESE,GRANDECO,DECO4WALLS,GOLD,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1002.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3102,VILLA_BORGHESE,GRANDECO,DECO4WALLS,GOLD,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3102.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3205,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BLUE,PINK,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3205.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3005,VILLA_BORGHESE,GRANDECO,DECO4WALLS,WHITE,PINK,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3005.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
VB1008,VILLA_BORGHESE,GRANDECO,DECO4WALLS,WHITE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1008.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VB3202,VILLA_BORGHESE,GRANDECO,DECO4WALLS,WHITE,PINK,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3202.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VB1104,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1104.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VB3305,VILLA_BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3305.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
