prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
VP2201,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,GREY,BLUE,Village People,villagepeople,#,/images/village_people/VP2201.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VP1203,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1203.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP1201,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1201.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP2203,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,WHITE,PINK,Village People,villagepeople,#,/images/village_people/VP2203.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VP1204,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,BROWN,NA,Village People,villagepeople,#,/images/village_people/VP1204.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP1202,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1202.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP2202,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,WHITE,GREY,Village People,villagepeople,#,/images/village_people/VP2202.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VP2204,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,WHITE,GREEN,Village People,villagepeople,#,/images/village_people/VP2204.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VP2205,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,WHITE,BEIGE,Village People,villagepeople,#,/images/village_people/VP2205.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
VP2101,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,RED,YELLOW,Village People,villagepeople,#,/images/village_people/VP2101.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
VP1103,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,GREEN,NA,Village People,villagepeople,#,/images/village_people/VP1103.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP1107,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,BLUE,NA,Village People,villagepeople,#,/images/village_people/VP1107.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
VP1104,VILLAGE_PEOPLE,GRANDECO,DECO4WALLS,RED,NA,Village People,villagepeople,#,/images/village_people/VP1104.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
