prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,RESIDENTIAL,mural,stripes
SB7728M,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7728M.jpg,,,,,,,,KIDS,,,MURAL,
RMK3153TB,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BROWN,Brother and Sister,bns,#,/images/brother_sister/RMK3153TB.jpg,,,,,,,,KIDS,,,,
SB7720,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7720.jpg,,,,PATTERN,,,,KIDS,,,,
IT7388,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,NA,Brother and Sister,bns,#,/images/brother_sister/IT7388.jpg,,TEXTURE,,,,,,KIDS,,,,
SB7721,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7721.jpg,,,,PATTERN,,,,KIDS,,,,
SB7650BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,ORANGE,Brother and Sister,bns,#,/images/brother_sister/SB7650BD.jpg,,,,,,,,KIDS,,,,
WH2609,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,SILVER,NA,Brother and Sister,bns,#,/images/brother_sister/WH2609.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,
SB7566,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BLUE,Brother and Sister,bns,#,/images/brother_sister/SB7566.jpg,,,,PATTERN,,,,KIDS,,,,
SB7651BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7651BD.jpg,,,,,,,,KIDS,,,,
SA9112,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,RED,Brother and Sister,bns,#,/images/brother_sister/SA9112.jpg,,,,,CONTEMPORARY,,,,,,,STRIPES
SB7686,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,GREEN,BROWN,Brother and Sister,bns,#,/images/brother_sister/SB7686.jpg,,,,PATTERN,,,,KIDS,,,,
SB7679BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BEIGE,PINK,Brother and Sister,bns,#,/images/brother_sister/SB7679BD.jpg,,,,,,,,KIDS,,,,
NY4945,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BEIGE,NA,Brother and Sister,bns,#,/images/brother_sister/NY4945.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES
SB7694,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BEIGE,BROWN,Brother and Sister,bns,#,/images/brother_sister/SB7694.jpg,,,,PATTERN,,,,KIDS,,,,
SB7696,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BROWN,Brother and Sister,bns,#,/images/brother_sister/SB7696.jpg,,,,PATTERN,,,,KIDS,,,,
SB7678BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BEIGE,PINK,Brother and Sister,bns,#,/images/brother_sister/SB7678BD.jpg,,,,,,,,KIDS,,,,
NY4944,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,NA,Brother and Sister,bns,#,/images/brother_sister/NY4944.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES
SB7695,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,GREY,PINK,Brother and Sister,bns,#,/images/brother_sister/SB7695.jpg,,,,PATTERN,,,,KIDS,,,,
SB7687,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,GREEN,BLUE,Brother and Sister,bns,#,/images/brother_sister/SB7687.jpg,,,,PATTERN,,,,KIDS,,,,
SB7706BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BROWN,Brother and Sister,bns,#,/images/brother_sister/SB7706BD.jpg,,,,,,,,KIDS,,,,
SB7708BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,RED,Brother and Sister,bns,#,/images/brother_sister/SB7708BD.jpg,,,,,,,,KIDS,,,,
SB7707BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7707BD.jpg,,,,PATTERN,,,,KIDS,,,,
PX8970,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BEIGE,NA,Brother and Sister,bns,#,/images/brother_sister/PX8970.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,
SB7715B,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,,GREEN,Brother and Sister,bns,#,/images/brother_sister/SB7715B.jpg,,,,,,,,KIDS,,,,
SB7665BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BLUE,Brother and Sister,bns,#,/images/brother_sister/SB7665BD.jpg,,,PATTERN,,,,,KIDS,,,,
RK4527,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,BLUE,NA,Brother and Sister,bns,#,/images/brother_sister/RK4527.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,
SB7671,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,BLUE,Brother and Sister,bns,#,/images/brother_sister/SB7671.jpg,,,PATTERN,,,,,KIDS,,,,
SB7663BD,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,WHITE,GREY,Brother and Sister,bns,#,/images/brother_sister/SB7663BD.jpg,,,PATTERN,,,,,KIDS,,,,
WH2731,BROTHERS_AND_SISTERS_V,YORK,BROTHER AND SISTER HOUSE,GREY,NA,Brother and Sister,bns,#,/images/brother_sister/WH2731.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,
