prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
WP2481,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,SILVER,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2481.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2495,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2495.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2436,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2436.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2456,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2456.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2458,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,YELLOW,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2458.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
WA7814,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN ,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7814.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2468,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,SILVER,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2468.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2410,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2410.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2401,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2401.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WA7788,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,BEIGE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7788.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
